@relation camel.1.4
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute defects numeric
@data
9,1,0,3,18,30,1,2,8,0.375,79,1,0,0,0.355555556,0,0,7.666666667,1,0.7778,0
7,1,0,29,58,1,3,29,3,0.666666667,190,1,2,0,0.416666667,0,0,25.42857143,1,0.7143,0
8,2,0,12,33,0,1,11,3,0.464285714,304,1,2,0.684210526,0.371428571,1,1,36.5,2,0.875,0
3,1,0,5,7,3,0,5,3,2,19,0,0,0,0.533333333,0,0,5.333333333,1,0.6667,0
11,1,0,8,30,43,4,4,11,1.014285714,163,0.142857143,0,0,0.4,0,0,13.18181818,4,1.2727,1
2,4,0,5,7,1,2,3,1,2,24,0,0,0.952380952,0.666666667,1,1,11,1,0.5,0
4,1,0,1,6,6,1,0,3,2,87,0,0,0,0.416666667,0,0,20.75,2,1,0
3,1,0,6,10,3,0,6,3,2,41,0,0,0,0.833333333,0,0,12.66666667,2,1,1
7,2,0,3,17,0,3,1,7,0.611111111,66,1,0,0.333333333,0.392857143,0,0,8,2,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
9,4,0,12,44,0,1,12,4,0.208333333,300,1,1,0.766666667,0.270833333,1,1,32,1,0.7778,0
5,3,0,10,16,8,2,8,4,0.75,61,1,1,0.9375,0.45,1,1,11,3,0.8,2
13,3,0,6,24,28,3,4,13,0.555555556,123,1,0,0.931677019,0.292307692,1,2,8.230769231,1,0.8462,0
1,1,0,4,1,0,1,3,1,2,1,0,0,0,1,0,0,0,1,1,0
4,1,0,3,5,4,1,2,3,0.666666667,17,1,1,0,0.5,0,0,3,1,0.5,0
4,1,2,6,24,6,2,4,1,2,96,0,0,0,0.45,0,0,23,3,1.5,0
15,1,0,11,47,37,1,10,11,0.980952381,465,0.133333333,0,0,0.193333333,0,0,29,3,1.1333,0
5,1,0,8,11,8,3,5,5,0.25,39,1,0,0,0.7,0,0,6.6,1,0.8,0
8,2,0,14,17,0,8,7,6,0.571428571,69,1,1,0.65,0.3,1,1,7.375,2,1,0
18,2,0,13,37,125,3,13,17,0.870588235,162,1,0,0.58974359,0.179012346,1,1,7.722222222,3,1.0556,0
12,1,1,13,35,34,3,12,3,0.803030303,217,1,1,0,0.261363636,0,0,16.58333333,4,1,0
1,2,0,1,2,0,0,1,1,2,6,1,0,1,1,0,0,3,0,0,0
52,1,3,31,121,1214,6,28,45,0.786096257,737,1,2,0,0.106617647,0,0,12.96153846,7,1.0962,0
3,3,0,4,6,3,1,4,2,2,17,0,0,0.971428571,0.5,1,1,4.666666667,1,0.3333,0
9,3,0,3,15,6,0,3,8,0.4375,82,1,2,0.647058824,0.416666667,1,2,7.888888889,3,0.8889,0
13,1,0,4,23,0,1,3,13,0,70,1,1,0,0.326923077,0,0,4.307692308,1,0.9231,0
15,3,0,14,46,93,1,14,8,0.821428571,217,1,0,0.739130435,0.261904762,2,3,13.2,2,0.8667,0
2,3,0,5,14,1,1,4,2,2,47,0,0,0.954545455,0.75,0,0,22.5,1,0.5,3
3,0,0,1,20,3,1,0,2,2,106,0,0,0,0.777777778,0,0,34.33333333,9,3.6667,0
3,4,0,6,5,3,3,3,3,2,12,0,0,0.987096774,0.666666667,1,2,3,1,0.6667,1
9,1,7,11,17,24,7,4,5,0.375,125,1,2,0,0.444444444,0,0,12.66666667,2,1,0
2,1,0,6,3,1,4,2,2,2,7,0,0,0,0.75,0,0,2.5,1,0.5,1
2,3,0,4,4,1,0,4,1,2,9,0,0,0.916666667,0.75,1,1,3.5,1,0.5,0
3,1,0,2,15,3,1,1,0,2,63,0,0,0,0.5,0,0,20,1,0.6667,0
7,3,1,9,13,0,4,5,5,0.166666667,41,1,1,0.807692308,0.476190476,1,1,4.714285714,1,0.7143,0
8,3,0,5,12,16,1,5,8,0.80952381,66,1,1,0.955414013,0.34375,1,2,6.875,4,1.25,0
8,2,27,32,16,0,27,5,6,0.285714286,47,1,1,0.65,0.34375,1,1,4.75,1,0.875,0
13,1,0,16,26,78,2,14,12,2,80,0,0,0,0.326923077,0,0,5.153846154,1,0.9231,2
16,1,1,7,30,112,2,5,12,0.8,151,1,2,0,0.266666667,0,0,8.1875,4,1.3125,0
44,2,0,12,72,834,4,8,44,0.5,345,1,0,0.338461538,0.261363636,1,2,6.795454545,1,0.9773,3
4,1,1,1,9,0,1,0,4,0,27,1,0,0,1,0,0,5.5,1,0.75,0
9,3,1,11,23,8,5,8,7,0.458333333,127,1,1,0.928571429,0.375,0,0,12.77777778,2,0.6667,0
1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,0
6,0,0,20,55,7,2,18,3,0.6,323,0.5,0,0,0.457142857,0,0,52.5,4,1.6667,0
24,1,0,23,43,270,2,23,24,0.927536232,127,1,3,0,0.180555556,0,0,4.166666667,1,0.9583,0
15,1,1,14,29,45,4,10,12,0.714285714,169,1,5,0,0.35,0,0,9.8,3,1.2,0
4,2,0,13,7,4,12,1,2,0.952380952,89,0.142857143,7,0.857142857,0.444444444,1,1,19.5,1,0.5,1
7,1,0,4,9,7,1,3,7,0.583333333,48,1,2,0,0.392857143,0,0,5.571428571,3,1,0
3,3,0,7,15,3,0,7,1,2,45,0,0,0.944444444,0.555555556,1,3,14,1,0.6667,0
14,4,0,9,37,73,1,9,13,0.634615385,236,1,1,0.921686747,0.257142857,1,15,15.57142857,6,1.5,1
7,2,2,7,10,15,2,5,4,0.333333333,44,1,0,0.814814815,0.285714286,0,0,5.142857143,3,1,0
4,3,0,1,6,0,0,1,3,0,21,1,0,0.921052632,0.625,2,2,4,1,0.75,0
1,1,0,11,1,0,10,2,1,2,1,0,0,0,1,0,0,0,1,1,0
6,4,0,5,10,15,1,5,5,1,43,1,0,0.949152542,0.444444444,0,0,6,1,0.5,0
1,1,0,5,1,0,3,2,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,6,7,1,2,4,1,2,21,0,0,0,0.5,0,0,9.5,1,0.5,0
1,1,0,30,1,0,30,0,1,2,1,0,0,0,1,0,0,0,1,1,0
4,1,0,6,4,6,5,2,4,1.333333333,5,0,0,0,0.5625,0,0,0,1,1,0
2,5,1,9,9,1,2,8,1,2,26,0,0,0.971428571,0.666666667,1,1,12,1,0.5,0
2,3,0,7,6,1,0,7,1,2,19,0,0,0.971428571,0.666666667,1,1,8.5,1,0.5,0
3,1,0,3,5,0,2,1,3,0,17,1,1,0,0.666666667,0,0,4.333333333,1,0.6667,0
23,2,0,19,33,217,4,18,23,0.636363636,247,1,3,0.511111111,0.241545894,1,2,9.608695652,2,1,0
3,1,0,10,22,1,1,9,2,0.5,141,1,1,0,0.666666667,0,0,45.33333333,6,2,1
16,1,0,9,43,112,5,4,14,0.6,273,1,0,0,0.4875,0,0,15.9375,1,0.875,1
2,5,0,2,6,0,1,1,2,1,21,1,0,0.944444444,0.75,0,0,8.5,1,0.5,0
9,2,1,7,18,0,1,6,7,0.25,66,1,1,0.65,0.388888889,1,1,6.222222222,1,0.7778,1
5,3,0,4,8,10,1,4,4,1,35,1,0,0.945454545,0.44,0,0,5.8,1,0.6,0
141,2,13,102,286,9792,59,69,130,0.895238095,1747,0.888888889,3,0.073333333,0.057142857,0,0,11.32624113,6,1.156,17
5,4,0,8,19,4,1,7,2,0.5,63,1,1,0.918918919,0.4,2,4,11.4,1,0.6,0
2,1,0,2,19,1,1,1,2,2,121,0,0,0,0.666666667,0,0,59.5,13,6.5,0
11,2,0,11,17,25,3,11,8,0.766666667,73,1,0,0.741935484,0.25,0,0,5.363636364,1,0.7273,0
2,1,0,2,2,1,1,1,2,2,2,0,0,0,1,0,0,0,1,1,0
3,2,0,6,4,3,2,4,3,2,10,0,0,0.6,0.555555556,0,0,2.333333333,1,0.6667,0
3,1,0,12,3,3,11,1,3,2,3,0,0,0,0.833333333,0,0,0,1,1,0
11,0,0,6,22,41,0,6,11,0.833333333,99,1,2,0,0.393939394,0,0,7.727272727,5,1.2727,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
32,1,0,23,52,490,11,22,32,0.892473118,171,1,3,0,0.136363636,0,0,4.25,1,0.9688,0
6,4,0,6,17,0,1,5,4,0.4,85,1,1,0.857142857,0.4,1,2,12.83333333,1,0.8333,1
13,3,0,9,35,26,1,8,9,0.555555556,214,1,2,0.620689655,0.307692308,1,1,15.23076923,8,1.3846,2
17,3,0,9,36,80,3,8,16,0.1875,187,1,0,0.7,0.245098039,2,9,9.941176471,5,1.3529,0
4,3,0,3,22,0,1,3,2,0.333333333,86,1,0,0.918918919,0.4375,2,3,20.25,3,1.25,0
6,1,4,5,7,9,5,0,5,0.6,23,1,0,0,0.5,0,0,2.666666667,1,0.6667,0
9,0,2,16,44,36,2,14,2,2,217,0,0,0,0.37037037,0,0,23.11111111,2,1,0
4,1,0,8,18,6,5,4,3,2,62,0,0,0,0.458333333,0,0,14.5,3,1.25,0
4,1,0,10,19,6,0,10,3,2,76,0,0,0,0.25,0,0,18,1,0.75,0
7,3,0,7,26,0,1,6,5,0.666666667,84,1,2,0.777777778,0.285714286,1,1,10.57142857,1,0.8571,2
6,4,0,4,23,5,0,4,1,0.5,102,1,0,0.9,0.6,2,2,15.66666667,2,0.8333,0
1,1,0,9,1,0,8,1,1,2,1,0,0,0,1,0,0,0,1,1,0
3,3,2,5,9,3,3,3,2,2,28,0,0,0.944444444,0.777777778,1,1,8.333333333,1,0.6667,0
61,3,1,26,137,1808,6,24,55,0.773809524,615,1,3,0.373626374,0.089166667,2,4,8.967213115,5,1.0492,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,14,6,0,0,1,2,79,0,0,0,0.375,0,0,18.75,5,2,0
19,3,0,13,35,129,3,11,16,0.8,157,1,4,0.538461538,0.173684211,1,1,7,3,1.0526,2
26,1,1,9,47,0,4,5,24,0.08,236,1,1,0,0.258241758,0,0,8.038461538,2,1,3
0,1,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0
12,2,4,12,30,34,5,7,8,0.636363636,172,1,1,0.181818182,0.25,0,0,13.16666667,3,1.1667,0
11,1,0,4,20,43,1,3,10,0.1,124,1,1,0,0.363636364,0,0,10.18181818,3,1.2727,0
22,1,0,163,22,231,163,1,22,2,22,0,0,0,0.25974026,0,0,0,1,1,0
12,3,0,15,28,36,5,12,7,0.781818182,152,0.8,2,0.724137931,0.25974026,0,0,11.25,2,0.75,0
3,1,0,3,8,0,1,2,3,0.5,29,0,0,0,0.666666667,0,0,8,1,0.6667,0
2,0,0,5,8,1,1,4,2,2,50,0,0,0,0.75,0,0,24,1,0.5,0
3,3,0,18,25,1,1,18,2,0.857142857,136,1,2,0.952380952,0.666666667,0,0,42,1,0.3333,0
7,2,0,11,21,17,6,5,6,0.666666667,90,1,0,0.375,0.375,0,0,11.57142857,2,1,0
14,1,0,4,33,39,0,4,13,0.692307692,231,1,0,0,0.261538462,0,0,15.14285714,1,0.8571,0
2,1,0,4,12,1,1,3,2,2,52,0,0,0,0.666666667,0,0,25,3,1.5,0
2,1,0,2,3,1,0,2,2,2,7,0,0,0,0.75,0,0,2.5,1,0.5,0
2,4,1,9,3,1,5,4,2,2,5,0,0,0.993506494,0.75,0,0,1.5,1,0.5,0
43,1,0,9,101,815,4,7,35,0.833333333,792,0.8,1,0,0.261904762,0,0,17.18604651,1,0.8372,0
18,1,0,1,34,149,1,0,18,0.558823529,114,1,0,0,0.183333333,0,0,5.222222222,2,1.0556,0
15,3,0,6,32,61,1,5,14,0.595238095,168,1,0,0.925925926,0.366666667,1,2,10,2,0.9333,1
6,4,0,6,12,15,0,6,5,2,45,0,0,0.978494624,0.3,0,0,6.5,1,0.3333,0
6,3,0,10,42,0,1,10,5,0.6,203,1,0,0.833333333,0.4,0,0,32.33333333,1,0.6667,0
18,1,0,13,33,131,9,6,16,0.882352941,144,1,1,0,0.235294118,0,0,6.666666667,2,1.1111,0
1,1,0,12,1,0,11,1,1,2,1,0,0,0,1,0,0,0,1,1,0
3,2,0,1,5,3,0,1,3,2,12,0,0,0.956521739,0.666666667,1,2,3,1,0.3333,0
10,4,0,7,17,13,1,6,10,0.555555556,82,1,1,0.95625,0.375,1,1,7,2,0.8,1
8,5,1,10,24,0,1,9,7,0.666666667,198,1,0,0.85,0.3125,0,0,23,4,1.125,0
16,1,0,3,24,78,0,3,15,0.76,134,1,0,0,0.175,0,0,7.0625,1,0.8125,0
6,2,0,2,9,9,1,1,6,0.2,41,1,0,0.5,0.5,0,0,5.666666667,2,0.8333,0
10,1,2,9,18,9,4,7,10,0.666666667,86,1,3,0,0.285714286,0,0,7.3,3,1.2,0
11,3,2,8,30,37,2,6,4,0.666666667,127,1,0,0.7,0.3,1,1,10.27272727,1,0.8182,0
13,2,2,18,53,42,7,14,8,0.666666667,340,1,1,0.565217391,0.213675214,1,1,24.76923077,2,0.8462,4
62,2,1,50,135,1723,12,40,48,0.930327869,1182,1,8,0.183098592,0.075260805,1,1,17.74193548,7,1.3548,6
14,3,2,17,21,77,9,9,11,0.576923077,106,1,2,0.710526316,0.265306122,1,1,6.428571429,2,0.8571,0
9,1,0,6,20,36,0,6,8,2,49,0,0,0,0.142857143,0,0,4.444444444,1,0.8889,0
18,5,0,14,60,51,1,14,10,0.722689076,369,1,1,0.693877551,0.209150327,1,1,19.11111111,3,0.9444,0
8,2,0,14,26,0,3,11,5,0.642857143,142,1,3,0.684210526,0.392857143,1,1,16.25,3,1,0
6,1,0,3,6,15,3,0,6,2,6,0,0,0,0.555555556,0,0,0,1,1,0
5,2,0,6,9,6,5,1,3,0.9,75,0.2,5,0.8,0.416666667,1,1,13,1,0.6,0
3,6,0,4,9,3,1,3,3,2,23,0,0,0.987804878,1,1,1,6.666666667,1,0.6667,0
1,1,0,8,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,1,0,4,4,1,0,4,2,2,10,0,0,0,0.666666667,0,0,4,1,0.5,0
3,3,0,10,25,0,1,10,2,0,136,1,0,0.945945946,0.5,1,1,44,2,1,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,43,1,0,43,0,1,2,1,0,0,0,1,0,0,0,1,1,0
3,1,0,4,5,3,0,4,3,2,18,0,0,0,0.833333333,0,0,5,1,0.6667,0
11,1,0,4,22,55,1,3,10,2,86,0,0,0,0.181818182,0,0,6.818181818,1,0.9091,2
14,2,0,9,18,91,4,6,11,2,71,0,0,0.76,0.339285714,1,3,4.071428571,1,0.8571,0
14,3,0,7,25,59,1,6,12,0.815384615,131,1,1,0.5,0.338461538,1,2,8,4,1,0
3,1,9,9,4,1,9,0,3,0.5,14,1,0,0,0.666666667,0,0,3.333333333,1,0.6667,0
2,0,0,5,10,1,1,4,2,2,58,0,0,0,0.75,0,0,28,1,0.5,0
3,3,0,12,17,3,0,12,1,2,67,0,0,0.944444444,0.666666667,1,3,21.33333333,1,0.6667,1
6,1,0,4,10,0,1,3,6,0.6,46,1,0,0,0.333333333,0,0,6.166666667,1,0.8333,0
3,3,0,2,4,1,1,1,3,0.5,15,1,0,0.818181818,0.666666667,0,0,3.666666667,1,0.6667,0
118,1,0,38,198,6427,14,28,111,0.972730973,1327,0.936507937,2,0,0.081871345,0,0,9.711864407,32,1.5169,0
20,2,0,8,30,144,2,8,20,0.879699248,148,1,0,0.575,0.20625,0,0,6.05,2,0.95,0
11,3,0,8,22,27,2,6,7,0.633333333,98,1,0,0.771428571,0.283333333,1,4,7.636363636,3,1.0909,0
6,3,0,12,23,7,2,11,4,0.666666667,90,1,1,0.965517241,0.44,0,0,13.5,1,0.5,0
3,1,0,3,16,1,1,2,1,0.5,60,1,0,0,0.5,0,0,18.66666667,3,1,0
13,2,1,3,28,0,3,0,13,0.291666667,140,1,0,0.5,0.384615385,0,0,9.615384615,1,0.6923,2
3,1,0,5,5,0,1,4,3,0,24,1,0,0,1,0,0,6.666666667,1,0.6667,0
21,4,1,22,36,168,11,16,21,0.841666667,175,1,3,0.595744681,0.158730159,1,1,7.047619048,3,1.0952,0
3,5,1,5,10,0,3,2,3,0.75,33,1,1,0.944444444,0.583333333,0,0,9.333333333,1,0.3333,0
2,1,0,9,2,1,8,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,2,3,0,1,1,1,2,7,0,0,1,1,0,0,6,0,0,0
4,1,0,4,15,2,2,2,1,0.555555556,226,1,0,0,0.333333333,0,0,54.75,6,1.75,0
5,2,0,9,11,4,2,8,5,0.5,53,1,0,0.884615385,0.342857143,0,0,9.2,1,0.6,0
10,1,0,7,18,43,3,4,10,0.111111111,63,1,1,0,0.32,0,0,5.2,1,0.9,0
23,1,0,24,41,247,11,23,23,0.893939394,127,1,3,0,0.178743961,0,0,4.391304348,1,0.9565,0
1,4,3,4,2,0,4,0,1,2,7,1,0,1,1,0,0,5,0,0,0
4,0,2,10,20,6,2,8,1,1.333333333,85,1,0,0,0.5,0,0,20,5,2,0
13,0,1,14,52,60,2,13,3,0.833333333,341,1,2,0,0.240384615,0,0,24.76923077,5,1.2308,0
3,3,3,6,12,3,3,3,2,2,47,0,0,0.9,0.666666667,0,0,14.66666667,1,0.6667,0
7,0,0,9,22,21,1,8,1,2,137,0,0,0,0.5,0,0,18.57142857,9,2.2857,0
4,2,0,5,7,4,4,1,2,0.888888889,45,0.333333333,3,0.857142857,0.444444444,1,1,9.5,1,0.5,0
2,1,1,3,10,0,1,2,1,0,44,1,0,0.857142857,0.75,1,1,20,2,1,0
1,1,0,2,3,0,1,1,1,2,7,0,0,1,1,0,0,6,0,0,0
3,1,0,8,18,0,2,6,2,0.5,59,1,0,0,0.666666667,0,0,18,1,0.3333,1
3,5,0,4,8,0,2,2,3,0.5,32,1,1,0.894736842,0.555555556,0,0,9,1,0.6667,0
34,2,0,19,47,525,5,17,33,0.963636364,261,0.933333333,2,0.418181818,0.161616162,1,2,6.235294118,2,0.9706,0
1,3,0,2,2,0,1,1,1,2,5,0,0,1,1,0,0,4,0,0,0
1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,3,0,4,4,1,0,4,1,2,11,0,0,0.971428571,0.666666667,1,1,4.5,1,0.5,0
6,1,0,24,65,7,1,24,5,0.6,342,1,1,0,0.4,0,0,55.66666667,13,4.1667,0
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,0
4,1,0,50,4,6,46,5,4,2,4,0,0,0,0.5,0,0,0,1,1,0
4,1,6,8,12,6,6,2,3,2,37,0,0,0,0.5625,0,0,8.25,2,1,0
9,4,0,11,58,0,1,11,1,0.708333333,377,0.833333333,1,0.829268293,0.291666667,2,4,40.22222222,1,0.7778,0
10,1,0,10,28,0,5,5,10,0.518518519,136,1,1,0,0.257142857,0,0,12.3,2,0.9,0
2,3,0,6,11,1,0,6,1,2,39,0,0,0.971428571,0.666666667,1,2,18.5,1,0.5,0
20,2,0,10,24,178,4,8,16,0.789473684,114,1,1,0.690909091,0.221428571,1,3,4.65,1,0.85,0
8,1,0,5,21,20,1,4,7,0.942857143,94,1,1,0,0.476190476,0,0,10.125,4,1.75,1
9,1,0,9,36,26,7,3,8,0.75,166,0.666666667,0,0,0.25,0,0,17.11111111,4,1.1111,0
4,1,0,6,4,6,4,2,4,2,4,0,0,0,0.55,0,0,0,1,1,0
3,3,0,8,12,3,0,8,2,2,39,0,0,0.944444444,0.666666667,1,1,12,1,0.6667,0
4,1,0,1,12,0,1,0,4,0.333333333,52,1,0,0,0.5,0,0,11.5,1,0.75,0
3,1,0,3,6,3,1,2,3,2,14,0,0,0,1,0,0,3.666666667,1,0.6667,1
7,1,0,30,33,17,2,29,3,2,180,0,0,0.714285714,0.285714286,1,4,24.71428571,1,0.5714,0
28,1,0,8,44,300,3,7,27,0.910493827,248,1,0,0,0.136363636,0,0,7.428571429,4,1.1429,0
7,2,0,2,9,7,0,2,6,0.583333333,39,1,1,0.722222222,0.314285714,1,1,4.285714286,1,0.7143,0
5,2,0,9,10,10,3,6,5,2,30,0,0,0.926829268,0.36,1,1,5,1,0.6,1
8,1,0,8,32,16,0,8,7,0.571428571,159,1,0,0,0.267857143,0,0,18.625,2,1,0
5,3,0,17,61,8,3,16,3,0.75,295,1,0,0.897435897,0.314285714,1,1,57.8,18,5,0
4,2,0,7,8,6,2,6,4,2,27,0,0,0.926829268,0.4375,1,1,5.75,1,0.75,0
4,2,0,3,11,0,1,2,3,0.333333333,45,1,0,0.857142857,0.625,1,1,10,1,0.75,0
2,0,0,4,6,1,0,4,2,2,18,0,0,0,1,0,0,8,1,0.5,0
32,2,0,20,55,438,3,18,32,0.792626728,273,1,6,0.09375,0.10546875,0,0,7.3125,2,1,4
13,2,0,14,44,54,1,13,4,0.708333333,223,1,1,0.565217391,0.305555556,1,1,15.84615385,3,1.1538,2
4,0,0,10,17,2,1,9,3,0.666666667,71,1,2,0,0.833333333,0,0,16,1,0.5,0
8,2,0,11,14,22,3,10,8,0.285714286,57,1,0,0.821428571,0.303571429,0,0,6,1,0.625,0
20,1,0,5,37,132,1,4,18,0.881578947,341,1,0,0,0.3875,0,0,15.65,30,2.5,2
10,4,0,8,22,27,1,8,10,0.611111111,87,1,1,0.951807229,0.32,2,3,7.5,2,0.9,3
7,2,0,5,26,15,1,4,5,0.666666667,95,1,0,0.375,0.433333333,1,3,12.42857143,2,1,0
9,1,0,13,31,26,2,11,6,0.775,162,1,1,0,0.325,0,0,16.44444444,3,1.4444,0
3,1,0,5,3,3,5,1,3,2,3,0,0,0,0.666666667,0,0,0,1,1,1
11,1,0,1,17,25,1,0,11,0.725,105,1,0,0,0.409090909,0,0,8.181818182,3,1.2727,0
3,1,0,3,8,0,1,2,3,0.5,29,0,0,0,0.666666667,0,0,8,1,0.6667,0
33,2,2,30,62,436,13,23,31,0.78125,327,1,3,0.442307692,0.123376623,1,1,8.696969697,3,1,0
3,3,0,6,6,3,0,6,2,1,21,1,1,0.952380952,0.666666667,0,0,5.333333333,1,0.3333,0
2,1,0,12,18,1,2,11,1,2,74,0,0,0.8,0.666666667,1,1,36,1,0.5,0
1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,0
18,3,0,4,35,111,0,4,16,0.81372549,200,1,0,0.75,0.311111111,1,2,9.777777778,5,1.2778,0
21,2,0,14,25,198,8,7,16,0.8,119,1,1,0.678571429,0.217687075,1,3,4.619047619,1,0.8571,0
2,3,0,4,4,1,0,4,1,2,11,0,0,0.971428571,0.666666667,1,1,4.5,1,0.5,0
3,3,0,3,5,3,1,3,1,2,25,0,0,0.944444444,0.777777778,1,2,7.333333333,1,0.6667,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
15,3,0,8,38,49,3,6,14,0.428571429,164,1,0,0.729166667,0.28,2,8,9.866666667,3,1.2667,0
6,2,0,2,11,9,1,1,6,0.2,45,1,0,0.5,0.416666667,0,0,6.333333333,2,0.8333,0
20,1,0,9,40,122,3,7,16,0.84962406,275,1,0,0,0.33,0,0,12.4,9,1.45,3
11,5,1,8,20,37,4,4,11,0.5,117,1,1,0.950617284,0.363636364,2,4,9.454545455,3,1.0909,0
8,5,0,12,11,24,1,12,8,0.785714286,47,1,1,0.87037037,0.25,1,1,4.625,1,0.875,0
6,1,0,8,14,13,1,7,6,0.4,54,1,0,0,0.433333333,0,0,7.833333333,2,1,0
6,1,0,4,12,15,0,4,5,2,29,0,0,0,0.25,0,0,3.833333333,1,0.8333,0
1,4,1,5,2,0,2,4,1,2,11,0.5,1,1,1,0,0,8,0,0,0
9,3,1,11,15,18,3,9,7,0.6875,61,1,1,0.80952381,0.277777778,1,2,5.555555556,1,0.8889,0
2,1,0,10,12,0,2,8,2,0,49,1,2,0,0.583333333,0,0,22.5,1,0.5,2
2,3,0,3,5,1,1,3,1,2,17,0,0,0.971428571,0.666666667,1,2,7.5,1,0.5,0
3,1,0,5,6,3,2,5,3,2,18,0,0,0,0.555555556,0,0,5,1,0.6667,0
2,1,0,6,2,1,2,4,2,2,2,0,0,0,0.666666667,0,0,0,1,1,0
4,1,0,3,28,0,1,2,4,0.333333333,152,1,0,0,0.416666667,0,0,35.25,2,1.25,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,1,0
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,0
1,1,0,6,1,0,5,3,1,2,1,0,0,0,1,0,0,0,1,1,0
4,5,0,1,13,0,0,1,3,0.833333333,47,1,0,0.894736842,0.5,0,0,10.25,2,0.75,1
26,1,0,389,26,325,387,4,26,2,26,0,0,0,0.157692308,0,0,0,1,1,4
2,0,0,2,3,1,1,1,2,2,7,0,0,0,1,0,0,2.5,1,0.5,0
22,1,0,2,41,189,1,1,22,0.841269841,180,1,0,0,0.171717172,0,0,6.909090909,7,1.2273,2
3,1,0,9,3,3,7,2,3,2,3,0,0,0,1,0,0,0,1,1,0
5,2,0,8,18,0,1,7,2,0.5,83,1,0,0.555555556,0.44,1,2,15,3,1.4,0
5,5,0,3,13,6,1,2,3,0.916666667,67,1,0,0.826086957,0.36,0,0,11.8,2,1,0
6,1,0,5,27,1,1,4,5,0.666666667,163,1,1,0,0.36,0,0,25.66666667,15,3,0
5,1,0,4,5,10,3,1,5,2,5,0,0,0,0.55,0,0,0,1,1,0
4,3,4,10,14,0,4,6,3,0.5,52,1,0,0.918918919,0.5,0,0,11.5,2,1,0
13,3,0,9,60,38,1,9,8,0.611111111,260,1,1,0.790697674,0.305555556,2,3,18.76923077,3,0.8462,0
1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
9,2,0,10,13,0,1,9,9,0.25,92,1,1,0.333333333,0.355555556,0,0,9,1,0.6667,2
33,3,0,17,49,424,5,16,27,0.86875,284,1,1,0.473684211,0.137741047,0,0,7.303030303,2,1.0909,0
12,1,2,14,47,48,2,12,3,0.886363636,306,1,0,0,0.218181818,0,0,23.83333333,4,1.6667,0
12,2,0,6,24,56,2,5,7,0.75,145,1,0,0.3125,0.260416667,1,2,10.75,2,1.0833,0
16,3,0,9,25,96,3,7,16,0.666666667,119,1,1,0.920245399,0.359375,1,2,6.25,3,1,0
2,4,0,5,6,0,5,0,2,0,20,1,0,0.944444444,0.75,0,0,8.5,1,0.5,0
2,1,0,4,4,1,1,3,2,2,9,0,0,0,1,0,0,3.5,1,0.5,0
4,3,0,4,7,0,1,4,3,0.333333333,28,1,0,0.918918919,0.4375,1,1,5.75,1,0.75,0
15,2,0,13,22,73,10,4,14,0.666666667,129,1,1,0.47826087,0.366666667,1,1,7.4,4,1.2,0
1,6,0,3,6,0,1,2,1,2,13,0,0,1,1,0,0,12,0,0,0
4,4,0,1,6,0,1,0,3,0.666666667,37,1,0,0.972222222,0.45,0,0,7.75,2,0.75,0
25,1,0,32,54,296,14,29,25,0.583333333,202,1,1,0,0.14,0,0,7,1,0.96,0
15,2,0,10,30,79,3,9,13,0.892857143,129,1,0,0.657142857,0.314285714,0,0,7.2,4,1,0
2,1,0,2,2,1,2,0,2,2,2,0,0,0,1,0,0,0,1,1,0
